abk	Abkhaz
hnd	Hindi
hea	Hmong (Miao) Northern East-Guizhou
blu	Hmong (Miao), Sichuan-Guizhou-Yunnan
hms	Hmong (Miao) Southern East-Guizhou
hva	Huasteco
huu	Huitoto Murui
hng	Hungarian
ice	Icelandic (Yslenska)
1120	Ido
igr	Igbo
ilo	Iloko/Ilocano
1119	Interlingua
esb	Inuktitut
itn	Italian
jpn	Japanese (Nihongo)
jan	Javanese
maz	Jñatrjo (Mazahua)
kbp	Kabyè
kjv	Kannada
kph	Kanuri Yerwa
kqn	Kaonde
pmp	Kapampangan
krl	Karelian
pwo	Karen (Pwo)
ksw	Karen (S'gaw)
kas	Kasem
ksh	Kashmiri
kaz	Kazakh
kjh	Khakas
khk	Khalkha (Mongolian)
khm	Khmer
1117	K'iche' (Quiché)
qug	Kichwa
kon	Kikongo ya L'Etat (Kikongo/Kituba)
mlo	Kimbundu
nyz	Kinyamwezi (Nyamwezi)
rua1	Kinyarwanda
gkp1	Kpelewo
kri	Krio
kdb1	Kurdish
kur	Kurmanji
kdo	Kyrgyz
nso	Lamnso' (Lám nso')
nol	Lao
ltn1	Latin (Latina)
ltn	Latin (Latina)
lat	Latvian
lia	Limba
lin	Lingala
lit	Lithuanian (Lietuviskai)
lbm1	Lozi
lub	Luba-Kasai (Tshiluba)
lap1	Luganda/Ganda
mlo1	Lunda/Chokwe-lunda
lue	Luvale
lux	Luxembourgish (Lëtzebuergeusch)
mkj	Macedonian
mhj	Madurese
mqm	Magahi
kde	Makonde
vmw	Makua (Mozambique)
mex	Malagasy
mjs	Malayalam
mls	Maltese
mam	Mam
mni	Maninka
mbf	Maori
rrt	Maori (Cook Islands) (Rarotongan)
aru	Mapudungun (Mapuzgun)
mrt	Marathi
mzm	Marshallese
mkd	Marwari
mcf	Matsés
yua	Mayan (Yucateco)
mao	Mazateco
mfy	Mende
mic	Mikmaq/Micmac
mpu	Minangkabau
miq	Miskito
mxv	Mixteco
mhm	Mooré/More
moz	Mozarabic (Ajami)
1111	Ñahñú (Otomí)
nhn	Nahuatl
nel	Ndebele
yrk	Nenets
nep	Nepali
nio	Nganasan
nba	Ngangela (Nyemba)
pcm	Nigerian Pidgin English
not	Nomatsiguenga
srt	Northern Sotho/Pedi/Sepedi
nrr	Norwegian (Bokmål) (Norsk, Bokmål)
nrn	Norwegian (Nynorsk) (Norsk, Nynorsk)
nus	Nuer
nyj	Nyanja/Chinyanja
nze	Nzema
auv1	Occitan Auvergnat
prv1	Occitan Languedocien
ojb	Ojibway (Ojibwe)
ory	Oriya
ose	Osetin (Ossetian)
1114	Oshiwambo (Ndonga)
lot	Otuho
pbb	Paez
1123	Pai Koka
plu	Palauan
pbu	Pashto/Pakhto
fum	Peuhl
frn2	Picard
pis	Pijin (Solomons Pidgin)
ppl	Pipil
pql	Polish (Polski)
pnf	Ponapean
por	Portuguese
pro	Provençal
fum1	Pulaar
pnj1	Punjabi/Panjabi
1112	Purhépecha
1116	Q'echi/Kekchi
qec1	Quechua
qeg	Quechua de Ambo-Pasco
quy	Quechua de Ayacucho
qnt	Quechua de Cajamarca
qar	Quechua de Cotahuasi (Arequipa)
qej	Quechua de Huamalies (Huanuco)
qan	Quechua del Callejon de Huaylas
quz	Quechua del Cusco
qju	Quechua del Norte de Junin
qei	Quechua de Margos (Sur de Dios de Mayo, Huanuco)
qed	Quechua de Pomabamba (Ancash)
qud1	Quichua
rhe	Rhaeto-Romance (Rumantsch)
rmn1	Romani
rum	Romanian (Româna)
koo1	Rukonzo (Konjo)
rud1	Rundi/Kirundi
nyn1	Runyankore-rukiga/Nkore-kiga
rus	Russian (Russky)
lpi	Sami/Lappish
eml	Sammarinese
smy	Samoan
saj	Sango (Sangho)
skt	Sanskrit
1124	Sapara Atupama
skr	Saraiki
srd	Sardinian
sco	Scots
ses	Seereer
src5	Serbian (Cyrillic) (Srpski)
src3	Serbian (Latin) (Srpski)
crs	Seselwa Creole French
sjn	Shan
mcd	Sharanahua
shk	Shilluk
shp	Shipibo-Conibo
shd	Shona
cjs	Shor
1125	Shuar Chicham
1126	Sia Pedee
snd	Sindhi
snh	Sinhala
swz1	Siswati
slo	Slovak (Slovencina)
slv	Slovenian (Slovenscina)
som	Somali
snn	Soninké (Soninkanxaane)
wee	Sorbian
sso	Southern Sotho/Sotho/Sesotho/Sutu/Sesutu
sua	Sukuma
suo	Sundanese
sud	Sussu/Soussou/Sosso/Soso/Susu
swa	Swahili/Kiswahili
crm	Swampy Cree
swd	Swedish (Svenska)
tht	Tahitian
pet	Tajik
taj	Tamang (Tam)
tzm	Tamazight (Beraber)
tcv	Tamil
ttr	Tatar
tcw	Telugu
1118	Tének (Huasteco)
ttm	Tetum
thj	Thai
tej	Themne (Temne)
tic	Tibetan
tca	Ticuna
tgn	Tigrinya (Tigrigna)
tiv	Tiv
tob	Toba
toj	Tojol-a'b'al
pdg	Tok Pisin
toi	Tonga
tov	Tongan (Tonga)
top	Totonaco
cof	Tsafiki
tsh	Tshivenda
trk	Turkish (Türkçe)
tck	Turkmen
tyv	Tuvan
tzc1	Tzeltal
tzc	Tzotzil
uig	Uighur
ukr	Ukrainian (Ukrayins'ka)
mnf	Umbundu
ura	Urarina
urd	Urdu
uzb1	Uzbek (Cyrillic)
uzb	Uzbek (Latin)
vep	Veps
vie	Vietnamese
rmy1	Vlach
frn1	Walloon/Wallon
ako	Wama
1127	Wao Tededo
wry	Waray
guc	Wayuu
tsw	Western Sotho/Tswana/Setswana
wol	Wolof
xos	Xhosa
yad	Yagua
sah	Yakut
yao	Yao
yps	Yapese
iii	Yi
ydd	Yiddish
yor	Yoruba (Yorùbá)
ykg	Yukagir
zam	Zapoteco
ztu1	Zapoteco, San Lucas Quiaviní
ccx	Zhuang
zuu	Zulu
